date,status,price,total_adresses,var_total_adresses,eth_adresses,var_eth_adresses,bsc_adresses,var_bsc_adresses,matic_adresses,var_matic_adresses,instant_trades,var_instant_trades,bridges,var_bridges
2020-09-25T10:30:00Z,H,0.0,658,0,658,0,0,0,0,0,0,0,0,0
2020-09-26T10:30:00Z,H,0.0,625,-33,625,-33,0,0,0,0,0,0,0,0
2020-09-27T10:30:00Z,H,0.0,576,-49,576,-49,0,0,0,0,0,0,0,0
2020-09-28T10:30:00Z,H,0.0,533,-43,533,-43,0,0,0,0,0,0,0,0
2020-09-29T10:30:00Z,H,0.0,581,48,581,48,0,0,0,0,0,0,0,0
2020-09-30T10:30:00Z,H,0.0,555,-26,555,-26,0,0,0,0,0,0,0,0
2020-10-01T10:30:00Z,H,0.0,545,-10,545,-10,0,0,0,0,0,0,0,0
2020-10-02T10:30:00Z,H,0.0,524,-21,524,-21,0,0,0,0,0,0,0,0
2020-10-03T10:30:00Z,H,0.0,508,-16,508,-16,0,0,0,0,0,0,0,0
2020-10-04T10:30:00Z,H,0.0,507,-1,507,-1,0,0,0,0,0,0,0,0
2020-10-05T10:30:00Z,H,0.0,502,-5,502,-5,0,0,0,0,0,0,0,0
2020-10-06T10:30:00Z,H,0.0,494,-8,494,-8,0,0,0,0,0,0,0,0
2020-10-07T10:30:00Z,H,0.0,483,-11,483,-11,0,0,0,0,0,0,0,0
2020-10-08T10:30:00Z,H,0.0,484,1,484,1,0,0,0,0,0,0,0,0
2020-10-09T10:30:00Z,H,0.0,485,1,485,1,0,0,0,0,0,0,0,0
2020-10-10T10:30:00Z,H,0.0,481,-4,481,-4,0,0,0,0,0,0,0,0
2020-10-11T10:30:00Z,H,0.0,478,-3,478,-3,0,0,0,0,0,0,0,0
2020-10-12T10:30:00Z,H,0.0,472,-6,472,-6,0,0,0,0,0,0,0,0
2020-10-13T10:30:00Z,H,0.0,468,-4,468,-4,0,0,0,0,0,0,0,0
2020-10-14T10:30:00Z,H,0.0,461,-7,461,-7,0,0,0,0,0,0,0,0
2020-10-15T10:30:00Z,H,0.0,454,-7,454,-7,0,0,0,0,0,0,0,0
2020-10-16T10:30:00Z,H,0.0,453,-1,453,-1,0,0,0,0,0,0,0,0
2020-10-17T10:30:00Z,H,0.0,448,-5,448,-5,0,0,0,0,0,0,0,0
2020-10-18T10:30:00Z,H,0.0,444,-4,444,-4,0,0,0,0,0,0,0,0
2020-10-19T10:30:00Z,H,0.0,443,-1,443,-1,0,0,0,0,0,0,0,0
2020-10-20T10:30:00Z,H,0.0,443,0,443,0,0,0,0,0,0,0,0,0
2020-10-21T10:30:00Z,H,0.0,445,2,445,2,0,0,0,0,0,0,0,0
2020-10-22T10:30:00Z,H,0.0,443,-2,443,-2,0,0,0,0,0,0,0,0
2020-10-23T10:30:00Z,H,0.0,436,-7,436,-7,0,0,0,0,0,0,0,0
2020-10-24T10:30:00Z,H,0.0,436,0,436,0,0,0,0,0,0,0,0,0
2020-10-25T10:30:00Z,H,0.0,432,-4,432,-4,0,0,0,0,0,0,0,0
2020-10-26T10:30:00Z,H,0.0,427,-5,427,-5,0,0,0,0,0,0,0,0
2020-10-27T10:30:00Z,H,0.00560983,426,-1,426,-1,0,0,0,0,0,0,0,0
2020-10-28T10:30:00Z,H,0.00459989,431,5,431,5,0,0,0,0,0,0,0,0
2020-10-29T10:30:00Z,H,0.00478576,419,-12,419,-12,0,0,0,0,0,0,0,0
2020-10-30T10:30:00Z,H,0.00529772,412,-7,412,-7,0,0,0,0,0,0,0,0
2020-10-31T10:30:00Z,H,0.00529199,412,0,412,0,0,0,0,0,0,0,0,0
2020-11-01T10:30:00Z,H,0.00482505,410,-2,410,-2,0,0,0,0,0,0,0,0
2020-11-02T10:30:00Z,H,0.00515523,410,0,410,0,0,0,0,0,0,0,0,0
2020-11-03T10:30:00Z,H,0.00554936,413,3,413,3,0,0,0,0,0,0,0,0
2020-11-04T10:30:00Z,H,0.00503702,411,-2,411,-2,0,0,0,0,0,0,0,0
2020-11-05T10:30:00Z,H,0.00462801,410,-1,410,-1,0,0,0,0,0,0,0,0
2020-11-06T10:30:00Z,H,0.00475737,412,2,412,2,0,0,0,0,0,0,0,0
2020-11-07T10:30:00Z,H,0.00462568,410,-2,410,-2,0,0,0,0,0,0,0,0
2020-11-08T10:30:00Z,H,0.00531799,406,-4,406,-4,0,0,0,0,0,0,0,0
2020-11-09T10:30:00Z,H,0.00506672,405,-1,405,-1,0,0,0,0,0,0,0,0
2020-11-10T10:30:00Z,H,0.00508362,405,0,405,0,0,0,0,0,0,0,0,0
2020-11-11T10:30:00Z,H,0.00499995,403,-2,403,-2,0,0,0,0,0,0,0,0
2020-11-12T10:30:00Z,H,0.00500382,400,-3,400,-3,0,0,0,0,0,0,0,0
2020-11-13T10:30:00Z,H,0.00502738,398,-2,398,-2,0,0,0,0,0,0,0,0
2020-11-14T10:30:00Z,H,0.00474647,396,-2,396,-2,0,0,0,0,0,0,0,0
2020-11-15T10:30:00Z,H,0.00523703,393,-3,393,-3,0,0,0,0,0,0,0,0
2020-11-16T10:30:00Z,H,0.00499931,391,-2,391,-2,0,0,0,0,0,0,0,0
2020-11-17T10:30:00Z,H,0.00615036,388,-3,388,-3,0,0,0,0,0,0,0,0
2020-11-18T10:30:00Z,H,0.00618684,389,1,389,1,0,0,0,0,0,0,0,0
2020-11-19T10:30:00Z,H,0.00761843,394,5,394,5,0,0,0,0,0,0,0,0
2020-11-20T10:30:00Z,H,0.01149486,419,25,419,25,0,0,0,0,0,0,0,0
2020-11-21T10:30:00Z,H,0.0123309,490,71,490,71,0,0,0,0,0,0,0,0
2020-11-22T10:30:00Z,H,0.01055606,504,14,504,14,0,0,0,0,0,0,0,0
2020-11-23T10:30:00Z,H,0.01226419,506,2,506,2,0,0,0,0,0,0,0,0
2020-11-24T10:30:00Z,H,0.01319554,515,9,515,9,0,0,0,0,0,0,0,0
2020-11-25T10:30:00Z,H,0.00902443,524,9,524,9,0,0,0,0,0,0,0,0
2020-11-26T10:30:00Z,H,0.0085174,521,-3,521,-3,0,0,0,0,0,0,0,0
2020-11-27T10:30:00Z,H,0.00773101,521,0,521,0,0,0,0,0,0,0,0,0
2020-11-28T10:30:00Z,H,0.00735959,529,8,529,8,0,0,0,0,0,0,0,0
2020-11-29T10:30:00Z,H,0.00782393,529,0,529,0,0,0,0,0,0,0,0,0
2020-11-30T10:30:00Z,H,0.00919249,539,10,539,10,0,0,0,0,0,0,0,0
2020-12-01T10:30:00Z,H,0.0088908,540,1,540,1,0,0,0,0,0,0,0,0
