date,status,price,total_addresses,var_total_addresses,eth_addresses,var_eth_addresses,bsc_addresses,var_bsc_addresses,matic_addresses,var_matic_addresses,instant_trades,var_instant_trades,bridges,var_bridges
2022-04-02T10:32:09Z,I,0.301896,12598,-1,7226,2,4737,-2,635,-1,111780190,206661,100897193,648317
2022-04-03T10:30:41Z,I,0.311557,12610,12,7232,6,4741,4,637,2,111977893,197703,101545510,648317
2022-04-04T10:30:37Z,I,0.363504,12657,47,7264,32,4754,13,639,2,112841970,864077,102193826,648316
2022-04-05T10:30:26Z,I,0.374673,12678,21,7284,20,4758,4,636,-3,113870050,1028080,102842143,648317
2022-04-06T10:28:34Z,I,0.350566,12707,29,7295,11,4775,17,637,1,114925618,1055568,103490460,648317
2022-04-07T10:30:56Z,I,0.326537,12699,-8,7296,1,4768,-7,635,-2,116274233,1348615,104138777,648317
2022-04-08T10:38:43Z,I,0.335481,12709,10,7303,7,4767,-1,639,4,117832724,1558491,104787093,648316
2022-04-09T10:30:30Z,I,0.323015,12720,11,7312,9,4766,-1,642,3,118965885,1133161,105435410,648317
2022-04-10T10:31:04Z,I,0.324558,12724,4,7310,-2,4773,7,641,-1,120280436,1314551,106083727,648317
2022-04-11T10:33:07Z,I,0.318513,12741,17,7320,10,4776,3,645,4,121930378,1649942,106732043,648316
2022-04-12T10:30:58Z,I,0.297015,12728,-13,7324,4,4757,-19,647,2,123572650,1642272,107380360,648317
2022-04-13T10:30:34Z,I,0.305671,12724,-4,7326,2,4754,-3,644,-3,124647357,1074707,108028677,648317
2022-04-14T10:30:38Z,I,0.310501,12737,13,7338,12,4761,7,645,1,125905264,1257907,108676993,648316
2022-04-15T10:33:26Z,I,0.29856,12751,14,7341,3,4768,7,642,-3,127102502,1197238,109325310,648317
2022-04-16T10:30:34Z,S,0.301439,12750,-1,7337,-4,4767,-1,646,4,128581500,1478998,110257039,931729
2022-04-17T10:31:22Z,S,0.296558,12732,-18,7334,-3,4756,-11,642,-4,129803034,1221534,111055065,798026
2022-04-18T10:30:24Z,S,0.271856,12726,-6,7332,-2,4751,-5,643,1,130516075,713041,111740162,685097
2022-04-19T11:07:40Z,S,0.296556,12727,1,7327,-5,4752,1,648,5,130755874,239799,112421639,681477
2022-04-20T10:31:18Z,S,0.300377,12726,-1,7327,0,4747,-5,652,4,131039161,283287,112882472,460833
2022-04-21T10:30:49Z,I,0.28886,12725,-1,7322,-5,4746,-1,657,5,131222335,183174,113305878,423406
2022-04-22T10:30:25Z,I,0.280075,12720,-5,7318,-4,4747,1,655,-2,131405509,183174,113729284,423406
2022-04-23T10:32:19Z,S,0.26941,12714,-6,7314,-4,4744,-3,656,1,131588682,183173,114152690,423406
2022-04-24T11:26:21Z,S,0.266013,12712,-2,7309,-5,4746,2,657,1,131891070,302388,114399923,247233
2022-04-25T10:29:32Z,S,0.243513,12706,-6,7304,-5,4746,0,656,-1,132044375,153305,114806466,406543
2022-04-26T10:28:53Z,S,0.257711,12705,-1,7300,-4,4750,4,655,-1,132189582,145207,114895950,89484
2022-04-27T10:16:37Z,S,0.243164,12700,-5,7299,-1,4747,-3,654,-1,132380408,190826,115366556,470606
2022-04-28T10:30:48Z,S,0.245698,12712,12,7298,-1,4753,6,661,7,132500186,119778,115815450,448894
2022-04-29T10:27:36Z,S,0.220082,12686,-26,7287,-11,4738,-15,661,0,132744549,244363,116251317,435867
2022-04-30T10:30:16Z,S,0.197301,12675,-11,7281,-6,4734,-4,660,-1,132918491,173942,116661466,410149
2022-05-01T10:36:42Z,S,0.177716,12662,-13,7280,-1,4723,-11,659,-1,133096768,178277,116929740,268274
